workload,sample,iterations,baseline_ns,deferred_ns
read_4k/32,0,3750,48648.993,49952.866
read_4k/32,1,3750,48698.095,51255.505
read_4k/32,2,3750,48716.818,45199.645
read_4k/32,3,3750,48828.054,50707.389
read_4k/32,4,3750,48601.259,50713.922
read_4k/32,5,3750,48615.726,50439.836
read_4k/32,6,3750,48672.605,50625.031
read_4k/32,7,3750,48494.100,50552.128
read_4k/32,8,3750,48450.643,50563.662
read_4k/32,9,3750,48433.787,50552.251
read_4k/32,10,3750,48606.303,49611.789
read_4k/32,11,3750,42721.616,48646.793
read_4k/32,12,3750,49381.771,47364.922
read_4k/32,13,3750,48778.808,50789.058
read_4k/32,14,3750,48778.819,50647.442
read_4k/32,15,3750,48754.463,50340.300
read_4k/32,16,3750,48778.275,50660.287
read_4k/32,17,3750,48735.674,50436.280
read_4k/32,18,3750,45511.533,50605.497
read_4k/32,19,3750,48673.416,50673.721
