workload,sample,iterations,baseline_ns,deferred_ns
nop/1,0,943396,108.930,108.387
nop/1,1,943396,106.991,109.055
nop/1,2,943396,109.450,107.668
nop/1,3,943396,107.202,108.280
nop/1,4,943396,107.191,107.017
nop/1,5,943396,107.394,108.919
nop/1,6,943396,111.475,113.563
nop/1,7,943396,106.492,107.527
nop/1,8,943396,106.368,107.277
nop/1,9,943396,106.573,108.060
nop/1,10,943396,106.517,107.563
nop/1,11,943396,107.886,107.829
nop/1,12,943396,107.026,107.282
nop/1,13,943396,107.111,107.830
nop/1,14,943396,106.985,107.734
nop/1,15,943396,106.846,108.936
nop/1,16,943396,106.731,107.682
nop/1,17,943396,106.812,107.897
nop/1,18,943396,106.787,107.654
nop/1,19,943396,107.671,108.779
nop/32,0,50890,2012.308,1996.805
nop/32,1,50890,2000.131,1989.883
nop/32,2,50890,2012.408,1998.940
nop/32,3,50890,2004.339,1991.847
nop/32,4,50890,2001.151,1994.294
nop/32,5,50890,1999.435,1992.499
nop/32,6,50890,2039.976,1999.076
nop/32,7,50890,2017.998,2005.031
nop/32,8,50890,2037.283,2040.453
nop/32,9,50890,2000.323,1998.667
nop/32,10,50890,2001.568,1984.952
nop/32,11,50890,2007.408,1988.971
nop/32,12,50890,2019.646,2036.343
nop/32,13,50890,2008.205,1994.701
nop/32,14,50890,2022.969,2012.235
nop/32,15,50890,2023.149,2022.860
nop/32,16,50890,2015.494,1994.863
nop/32,17,50890,1996.896,1988.188
nop/32,18,50890,1991.158,1982.217
nop/32,19,50890,2018.868,1989.703
nop/256,0,6521,15403.491,16010.785
nop/256,1,6521,15530.187,15172.783
nop/256,2,6521,16008.523,15301.568
nop/256,3,6521,15414.015,15526.640
nop/256,4,6521,15387.012,15244.054
nop/256,5,6521,15490.097,15210.604
nop/256,6,6521,15419.273,15280.929
nop/256,7,6521,15345.338,15335.574
nop/256,8,6521,15360.488,15510.410
nop/256,9,6521,15345.082,15316.347
nop/256,10,6521,15557.426,15586.762
nop/256,11,6521,15453.618,15386.462
nop/256,12,6521,15321.408,15730.556
nop/256,13,6521,15433.881,15330.820
nop/256,14,6521,15656.678,15332.277
nop/256,15,6521,15458.475,15229.192
nop/256,16,6521,15251.888,15055.691
nop/256,17,6521,15221.415,15113.543
nop/256,18,6521,15233.032,15292.801
nop/256,19,6521,15624.365,15518.819
read_4k/1,0,40584,29215.117,28373.717
read_4k/1,1,40584,27864.237,28625.195
read_4k/1,2,40584,28614.881,28442.321
read_4k/1,3,40584,28743.941,28245.875
read_4k/1,4,40584,28621.293,27840.540
read_4k/1,5,40584,28688.444,28590.094
read_4k/1,6,40584,28962.485,28277.393
read_4k/1,7,40584,28421.012,28172.770
read_4k/1,8,40584,29508.147,28504.593
read_4k/1,9,40584,25741.353,28137.731
read_4k/1,10,40584,29087.694,28269.344
read_4k/1,11,40584,29695.898,27412.581
read_4k/1,12,40584,29401.413,28301.870
read_4k/1,13,40584,26478.184,28322.887
read_4k/1,14,40584,29360.714,28407.289
read_4k/1,15,40584,28496.034,28083.861
read_4k/1,16,40584,28482.338,28152.763
read_4k/1,17,40584,28578.839,28206.846
read_4k/1,18,40584,28792.124,28214.895
read_4k/1,19,40584,28353.116,28460.212
read_4k/32,0,1930,49948.618,52677.688
read_4k/32,1,1930,50139.576,52496.899
read_4k/32,2,1930,50055.722,52489.990
read_4k/32,3,1930,49883.849,52340.311
read_4k/32,4,1930,55183.806,48011.186
read_4k/32,5,1930,47555.909,47377.861
read_4k/32,6,1930,49810.683,52373.904
read_4k/32,7,1930,50046.720,52350.652
read_4k/32,8,1930,49735.141,54127.675
read_4k/32,9,1930,49432.890,52449.251
read_4k/32,10,1930,49418.727,52346.896
read_4k/32,11,1930,49964.226,52416.456
read_4k/32,12,1930,50048.684,52211.120
read_4k/32,13,1930,49639.651,52422.135
read_4k/32,14,1930,50070.295,52486.428
read_4k/32,15,1930,50073.296,52387.851
read_4k/32,16,1930,49988.342,45990.636
read_4k/32,17,1930,49060.733,48706.732
read_4k/32,18,1930,49924.696,52565.618
read_4k/32,19,1930,49990.738,52476.886
read_4k/256,0,413,240879.990,161115.862
read_4k/256,1,413,241228.567,161401.683
read_4k/256,2,413,242908.985,159815.794
read_4k/256,3,413,241424.092,159861.600
read_4k/256,4,413,242789.535,160247.402
read_4k/256,5,413,242098.944,162793.557
read_4k/256,6,413,240120.692,160533.927
read_4k/256,7,413,241819.780,162241.690
read_4k/256,8,413,241311.799,159943.523
read_4k/256,9,413,240838.022,161439.215
read_4k/256,10,413,240474.010,161005.487
read_4k/256,11,413,243951.383,161264.370
read_4k/256,12,413,243435.329,161799.792
read_4k/256,13,413,242570.402,167804.051
read_4k/256,14,413,242837.455,160762.545
read_4k/256,15,413,241514.082,160910.351
read_4k/256,16,413,246608.518,188234.956
read_4k/256,17,413,242382.240,164530.479
read_4k/256,18,413,251299.998,161982.707
read_4k/256,19,413,243129.632,160228.334
udp_64/1,0,49067,1902.157,1838.135
udp_64/1,1,49067,1895.533,1871.636
udp_64/1,2,49067,1892.133,1855.120
udp_64/1,3,49067,1891.591,1854.143
