workload,sample,iterations,baseline_ns,deferred_ns
nop/1,0,1052631,93.340,93.360
nop/1,1,1052631,93.638,93.467
nop/1,2,1052631,93.808,93.261
nop/1,3,1052631,93.320,93.433
nop/1,4,1052631,93.467,93.613
nop/1,5,1052631,93.375,93.619
nop/1,6,1052631,93.564,93.304
nop/1,7,1052631,93.262,93.403
nop/1,8,1052631,93.576,93.409
nop/1,9,1052631,94.354,93.580
nop/1,10,1052631,93.505,97.682
nop/1,11,1052631,93.761,93.908
nop/1,12,1052631,93.566,93.331
nop/1,13,1052631,93.888,93.983
nop/1,14,1052631,93.619,93.694
nop/1,15,1052631,93.631,93.217
nop/1,16,1052631,93.671,93.350
nop/1,17,1052631,93.631,93.619
nop/1,18,1052631,93.562,93.570
nop/1,19,1052631,93.628,93.343
nop/32,0,63291,1599.674,1580.174
nop/32,1,63291,1596.214,1586.379
nop/32,2,63291,1600.740,1585.396
nop/32,3,63291,1602.591,1593.485
nop/32,4,63291,1600.539,1594.602
nop/32,5,63291,1602.033,1589.381
nop/32,6,63291,1598.929,1587.784
nop/32,7,63291,1598.079,1587.860
nop/32,8,63291,1601.257,1588.644
nop/32,9,63291,1600.154,1587.250
nop/32,10,63291,1598.654,1585.246
nop/32,11,63291,1597.152,1588.672
nop/32,12,63291,1600.345,1586.924
nop/32,13,63291,1599.473,1589.626
nop/32,14,63291,1600.989,1597.297
nop/32,15,63291,1639.910,1584.881
nop/32,16,63291,1600.406,1588.041
nop/32,17,63291,1602.287,1588.797
nop/32,18,63291,1600.786,1619.180
nop/32,19,63291,1600.761,1586.252
nop/256,0,8347,12059.188,12192.637
nop/256,1,8347,12073.814,12215.760
nop/256,2,8347,12082.056,12193.531
nop/256,3,8347,12116.765,12215.425
nop/256,4,8347,12118.203,12231.584
nop/256,5,8347,12104.929,12197.539
nop/256,6,8347,12084.837,12221.615
nop/256,7,8347,12052.080,12215.555
nop/256,8,8347,12096.952,12213.493
nop/256,9,8347,12111.608,12225.574
nop/256,10,8347,12081.397,12182.249
